hyperparameter_set,average_roc_auc,model_path,timestamp
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.5418780249152927,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_30.pkl,20241102_130203
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.5146716083919919,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_32.pkl,20241102_130209
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.5354936159478965,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_35.pkl,20241102_130216
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.5009721653095612,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_36.pkl,20241102_130222
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.544784849711389,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_38.pkl,20241102_130228
"{'learning_rate': 0.1, 'num_leaves': 31, 'max_depth': 30, 'min_data_in_leaf': 20, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 500, 'boosting_type': 'dart', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 42}",0.5421712946816707,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_40.pkl,20241102_130234
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.4735737257939898,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_12.pkl,20241102_130245
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.4598781223399483,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_15.pkl,20241102_130251
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.4608990325349068,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_16.pkl,20241102_130258
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.465559505693228,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_17.pkl,20241102_130304
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.4597056591206405,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_18.pkl,20241102_130310
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.45007528394655927,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_19.pkl,20241102_130316
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.4884417941785718,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_25.pkl,20241102_130322
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.525834628586036,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_30.pkl,20241102_130328
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.5274111351533076,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_32.pkl,20241102_130333
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.5225236948765214,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_35.pkl,20241102_130339
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.5140265343635176,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_36.pkl,20241102_130345
"{'learning_rate': 0.1, 'num_leaves': 50, 'max_depth': 20, 'min_data_in_leaf': 50, 'feature_fraction': 0.6, 'lambda_l1': 10.0, 'lambda_l2': 0, 'min_gain_to_split': 0, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 10, 'bagging_seed': 42}",0.4891103599953504,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_38.pkl,20241102_130351
